(2017-12-14 21:14:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:16:36 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 3, ps_id: 4, proc_type: 65538, msg_type: 1
(2017-12-14 21:16:36 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 4, ps_id: 3, proc_type: 1048579, msg_type: 0
(2017-12-14 21:17:52 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 4, ps_id: 3, proc_type: 1048579, msg_type: 0
(2017-12-14 22:27:03 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:27:03 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:27:03 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:27:03 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:27:37 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:27:37 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:27:46 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:27:46 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:27:50 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 5, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:27:50 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 6, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:27:50 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 5, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:27:50 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 6, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:27:59 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 6, ps_id: 2, proc_type: 259, msg_type: 2
(2017-12-14 22:27:59 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 6, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:27:59 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 6, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:28:42 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: , ss_id: 6, ps_id: 10000, proc_type: 356, msg_type: 0
(2017-12-14 22:28:42 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: , ss_id: 6, ps_id: 10000, proc_type: 356, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 2, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 2, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 2, proc_type: 1048578, msg_type: 1
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 2, proc_type: 1048578, msg_type: 1
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 2, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 2, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 2, proc_type: 65536, msg_type: 1
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 3, ps_id: 2, proc_type: 65536, msg_type: 1
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 2, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 2, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 2, proc_type: 65537, msg_type: 1
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 3, ps_id: 2, proc_type: 65537, msg_type: 1
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 2, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 2, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 1
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 1
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 1
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 1
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 4, proc_type: 65537, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 3, ps_id: 4, proc_type: 65537, msg_type: 0
(2017-12-14 22:29:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 1
(2017-12-14 22:29:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 1
(2017-12-14 22:29:28 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 3, ps_id: 4, proc_type: 65538, msg_type: 0
(2017-12-14 22:29:28 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 3, ps_id: 4, proc_type: 65538, msg_type: 0
(2017-12-14 22:29:28 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 1
(2017-12-14 22:29:28 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 1
(2017-12-14 22:29:28 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 3, ps_id: 4, proc_type: 1048579, msg_type: 0
(2017-12-14 22:29:29 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 3, ps_id: 4, proc_type: 1048579, msg_type: 0
(2017-12-14 22:29:29 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 4, ps_id: 3, proc_type: 1048579, msg_type: 1
(2017-12-14 22:30:06 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 4, ps_id: 3, proc_type: 1048579, msg_type: 1
(2017-12-15 23:26:14 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:26:14 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:26:24 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:26:24 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:26:47 周五) Info:  session_layer:rcv_lower_thread,msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-15 23:26:47 周五) Info:  client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-15 23:29:25 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:29:25 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:29:27 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:29:27 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:31:10 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:31:10 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:34:16 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:34:16 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:35:34 周五) Info:  session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 2, ps_id: 0, proc_type: 259, msg_type: 2
(2017-12-15 23:35:34 周五) Info:  session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 2, ps_id: 0, proc_type: 259, msg_type: 2
(2017-12-15 23:35:34 周五) Info:  session_layer:rcv_lower_thread,msg_name: CommSimConfParam, ss_id: 2, ps_id: 4, proc_type: 258, msg_type: 2
(2017-12-15 23:35:34 周五) Info:  session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 2, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-15 23:35:34 周五) Info:  client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 2, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-15 23:38:00 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:38:00 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:38:00 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:38:00 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:38:27 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:38:27 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:38:27 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:38:27 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:41:08 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 5, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:41:08 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 5, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:41:56 周五) Info:  session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 2, ps_id: 0, proc_type: 259, msg_type: 2
(2017-12-15 23:41:56 周五) Info:  session_layer:rcv_lower_thread,msg_name: CommSimConfParam, ss_id: 2, ps_id: 5, proc_type: 258, msg_type: 2
(2017-12-15 23:41:56 周五) Info:  session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 2, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-15 23:41:56 周五) Info:  client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 2, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-15 23:43:46 周五) Info:  session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 2, ps_id: 0, proc_type: 259, msg_type: 2
(2017-12-15 23:43:46 周五) Info:  session_layer:rcv_lower_thread,msg_name: CommSimConfParam, ss_id: 2, ps_id: 5, proc_type: 258, msg_type: 2
(2017-12-15 23:43:46 周五) Info:  session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 2, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-15 23:43:46 周五) Info:  client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 2, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-15 23:46:09 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:46:09 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:46:17 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:46:17 周五) Info:  client_proxy:rcv_lower_thread, msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-15 23:46:25 周五) Info:  session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 1, ps_id: 0, proc_type: 259, msg_type: 2
(2017-12-15 23:46:25 周五) Info:  session_layer:rcv_lower_thread,msg_name: CommSimConfParam, ss_id: 1, ps_id: 2, proc_type: 258, msg_type: 2
(2017-12-15 23:46:25 周五) Info:  session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 1, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-15 23:46:25 周五) Info:  client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 1, ps_id: 10000, proc_type: 261, msg_type: 2
